circuit,scenario,qubits,error_for_table,worst_instance_error,rel_l2,rmse_amplitude,max_abs_probability_error,total_probability_diff
Grover,Objetivo unico (promedio N/8, N/2, 7N/8),23,1.111408143503022e-14,1.111408143503022e-14,2.335353828288908e-11,8.063205706164217e-15,4.4408920985006262e-16,3.7007434154171881e-16
Grover,Multiobjetivo,23,1.1112894511904208e-14,1.1112894511904208e-14,2.3363944117430236e-11,8.0667984967739134e-15,2.2204460492503131e-16,4.4408920985006262e-16
QFT,Superposicion periodica,23,3.7857887661870836e-11,3.7857887661870836e-11,1.33394088014543e-10,4.6056574318983568e-14,1.9151513708237644e-11,4.8517634354539041e-11
QFT,Alta entropia,23,2.8235635874250041e-11,2.8235635874250041e-11,3.1457474737206952e-10,1.0861227395352622e-13,2.0841847484101084e-14,5.8064664187895687e-14
