circuit,scenario,qubits,error_for_table,worst_instance_error,rel_l2,rmse_amplitude,max_abs_probability_error,total_probability_diff
Grover,Objetivo unico (promedio N/8, N/2, 7N/8),24,8.0434679937857625e-15,8.0434679937857625e-15,2.5703000676612014e-11,6.2751466500189571e-15,2.2204460492503131e-15,1.3322676295501878e-15
Grover,Multiobjetivo,24,8.0415307630016033e-15,8.0415307630016033e-15,2.5707205714155998e-11,6.2761732698875634e-15,2.2278343393609743e-22,0
QFT,Superposicion periodica,24,3.7857887661870836e-11,3.7857887661870836e-11,1.3339409701206802e-10,3.2566918215836856e-14,1.9151527586025452e-11,4.8517856399143966e-11
QFT,Alta entropia,24,3.7895535655909126e-11,3.7895535655909126e-11,3.1709544071847385e-10,7.7415879081663048e-14,2.0674363130044899e-14,2.737809978725636e-13
