circuit,scenario,qubits,error_for_table,worst_instance_error,rel_l2,rmse_amplitude,max_abs_probability_error,total_probability_diff
Grover,Objetivo unico (promedio N/8, N/2, 7N/8),22,1.6088527699098377e-14,1.6088527699098377e-14,2.5636024807021323e-11,1.2517590237739517e-14,3.9968028886505635e-15,3.9968028886505635e-15
Grover,Multiobjetivo,22,1.6090394368434538e-14,1.6090394368434538e-14,2.5663422205956973e-11,1.2530967874469425e-14,1.1102230246251565e-16,0
QFT,Superposicion periodica,22,3.7857887661870836e-11,3.7857887661870836e-11,1.33394088014543e-10,6.5133832038350959e-14,1.9151513708237644e-11,4.8517634354539041e-11
QFT,Alta entropia,22,3.5319916014604382e-11,3.5319916014604382e-11,2.8892304029113332e-10,1.4107570326715739e-13,4.7802673790540561e-14,3.9523939676655573e-14
