qubits,workload,strategy,accuracy_kind,exit_code,bitwise_equal,max_abs_amplitude_error,max_abs_component_error,rel_l2,rmse_amplitude,max_abs_probability_error,total_probability_diff,worst_state,stdout_path,stderr_path,command
23,grover_lazy_single_n8,zfp,lossy,0,false,1.7088351001218884e-11,1.5001811127882212e-11,3.8952394802400534e-11,1.3448975836616924e-14,5.8741900232917033e-12,5.8739679786867782e-12,1048832,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_single_n8_zfp_error.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_single_n8_zfp_error.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/experiment_compare --qubits 23 --workload grover_lazy_single_n8 --strategy zfp
23,grover_lazy_single_n2,dense,reference,0,true,0,0,0,0,0,0,0,,,reference row
23,grover_lazy_single_n2,blosc,lossless,0,true,0,0,0,0,0,0,0,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_single_n2_blosc_error.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_single_n2_blosc_error.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/experiment_compare --qubits 23 --workload grover_lazy_single_n2 --strategy blosc
23,grover_lazy_single_n2,zfp,lossy,0,false,1.7088351001218884e-11,1.5001811127882212e-11,3.8952394807084852e-11,1.3448975837199637e-14,5.8741900232917033e-12,5.8735238894769282e-12,4194560,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_single_n2_zfp_error.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_single_n2_zfp_error.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/experiment_compare --qubits 23 --workload grover_lazy_single_n2 --strategy zfp
23,grover_lazy_single_7n8,dense,reference,0,true,0,0,0,0,0,0,0,,,reference row
23,grover_lazy_single_7n8,blosc,lossless,0,true,0,0,0,0,0,0,0,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_single_7n8_blosc_error.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_single_7n8_blosc_error.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/experiment_compare --qubits 23 --workload grover_lazy_single_7n8 --strategy blosc
23,grover_lazy_single_7n8,zfp,lossy,0,false,1.7088351001218884e-11,1.5001811127882212e-11,3.8952394811311557e-11,1.3448975837624352e-14,5.8741900232917033e-12,5.8730798002670781e-12,7340288,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_single_7n8_zfp_error.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_single_7n8_zfp_error.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/experiment_compare --qubits 23 --workload grover_lazy_single_7n8 --strategy zfp
23,grover_lazy_multi,dense,reference,0,true,0,0,0,0,0,0,0,,,reference row
23,grover_lazy_multi,blosc,lossless,0,true,0,0,0,0,0,0,0,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_multi_blosc_error.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_multi_blosc_error.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/experiment_compare --qubits 23 --workload grover_lazy_multi --strategy blosc
23,grover_lazy_multi,zfp,lossy,0,false,1.294648218197476e-11,1.2500686255864459e-11,4.7313137650278898e-11,1.6335664293648311e-14,5.6305515805377127e-12,1.6891377185856982e-11,1048960,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_multi_zfp_error.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q23_grover_lazy_multi_zfp_error.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/experiment_compare --qubits 23 --workload grover_lazy_multi --strategy zfp
